Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,33,Control,B,10,12,11,11,12,13,1.2373723,1.5645077,1.4690013,1.31002411,,-0.231629,0.25448359,2.7063736,2.87453181,5.58090541
E1,33,Control,C,10,12,11,11,13,14,1.6520185,1.4528692,1.05403282,1.61070721,,0.59798568,-0.15783801,2.70605132,3.06357641,5.76962773
E1,33,Control,D,9,9,14,13,8,9,2.3228141,2.0072714,1.032761075,2.1866938,,1.290053025,-0.1794224,3.355575175,4.1939652,7.549540375
E1,33,PM,A,13,12,10,12,12,13,1.7930358,1.28618122,0.95319817,1.59996513,1.7018657,0.83983763,-0.31378391,2.74623397,2.88614635,7.33424602
E1,33,PM,B,16,14,15,16,18,16,1.3866918,1.2456845,0.8560824,1.18340457,-1.5685621,0.5306094,0.06227993,2.2427742,2.42908907,3.10330117
E1,33,PM,C,12,14,12,11,10,10,1.5205174,1.281063,0.87864696,1.31135706,1.11023197,0.64187044,-0.03029406,2.39916436,2.59242006,6.10181639
E1,33,PM,D,13,8,14,8,14,10,1.7140195,1.6007327,1.5235128,1.3790701,1.7120716,0.1905067,0.2216626,3.2375323,2.9798028,7.9294067
E1,34,Control,A,7,1,10,2,10,7,1.2214315,1.4053369,0.32173331,-1.84804225,,0.89969819,3.25337915,1.54316481,-0.44270535,1.10045946
E1,34,Control,B,13,1,16,4,16,11,1.03346,1.4245465,0.39149982,-0.44447852,,0.64196018,1.86902502,1.42495982,0.98006798,2.4050278
E1,34,Control,C,14,1,12,3,14,11,1.1523113,1.6359462,0.19559766,-1.73628611,,0.95671364,3.37223231,1.34790896,-0.10033991,1.24756905
E1,34,Control,D,16,1,17,7,19,13,1.2949845,1.8088073,0.941603594,0.4141528,,0.353380906,1.3946545,2.236588094,2.2229601,4.459548194
E1,34,PM,A,10,1,11,3,13,7,1.2508029,1.38435258,0.3094448,0.17843313,2.0797792,0.9413581,1.20591945,1.5602477,1.56278571,5.20281261
E1,34,PM,B,15,1,20,6,19,13,1.880608,1.5149693,0.7089097,1.20635928,0.9036767,1.1716983,0.30861002,2.5895177,2.72132858,6.21452298
E1,34,PM,C,17,1,16,5,19,15,1.2979635,1.588052,0.52040679,0.55279089,2.38988126,0.77755671,1.03526111,1.81837029,2.14084289,6.34909444
E1,34,PM,D,20,1,20,11,20,18,1.7731772,2.2215813,1.3629108,1.2033534,2.67988971,0.4102664,1.0182279,3.136088,3.4249347,9.24091241
E1,35,Control,A,12,3,8,6,10.5,9,1.2552344,1.2288507,0.79373209,-1.32214319,,0.46150231,2.55099389,2.04896649,-0.09329249,1.955674
E1,35,Control,B,11.5,3,12.5,13,14.5,10.5,1.1869486,1.331353,0.90344582,-0.46108441,,0.28350278,1.79243741,2.09039442,0.87026859,2.96066301
E1,35,Control,C,8,2.5,5,6,7,6,1.1782637,1.2103869,0.59216929,-1.02364662,,0.58609441,2.23403352,1.77043299,0.18674028,1.95717327
E1,35,Control,D,13.5,3.5,13.5,10,14,12,1.9443937,2.1820124,1.609451389,0.5634901,,0.334942311,1.6185223,3.553845089,2.7455025,6.299347589
E1,35,PM,A,12,3,6,5,12,8,1.2415615,1.33418429,0.89071626,-2.38769026,2.7483764,0.35084524,3.72187455,2.13227776,-1.05350597,3.82714819
E1,35,PM,B,18,3.5,13.5,11,19,13,1.0759343,1.3551903,1.1069299,-1.0227278,1.319236,-0.0309956,2.3779181,2.1828642,0.3324625,3.8345627
E1,35,PM,C,10.5,3,6,9,8,13,1.03108,1.504647,0.95953428,-1.22221128,2.93398942,0.07154572,2.72685828,1.99061428,0.28243572,5.20703942
E1,35,PM,D,19,5.5,19,7,20,14,2.4227318,2.1603852,1.6144979,1.2990827,2.49756032,0.8082339,0.8613025,4.0372297,3.4594679,9.99425792
E1,36,Control,A,10.5,9.5,10.5,13,13.5,9.5,1.1399254,1.7865316,1.25514953,-0.36381166,,-0.11522413,2.15034326,2.39507493,1.42271994,3.81779487
E1,36,Control,B,15.5,14.5,16.5,16.5,16.5,15.5,1.0497313,1.7722417,1.1519127,-0.54588546,,-0.1021814,2.31812716,2.201644,1.22635624,3.42800024
E1,36,Control,C,12.5,11.5,14.5,9.5,9.5,13.5,1.2021211,1.3955381,1.10664442,0.25786126,,0.09547668,1.13767684,2.30876552,1.65339936,3.96216488
E1,36,Control,D,14.5,14.5,17.5,13.5,16.5,18.5,1.0782814,2.1500905,1.861446162,0.2375352,,-0.783164762,1.9125553,2.939727562,2.3876257,5.327353262
E1,36,PM,A,10.5,9.5,9.5,12.5,10.5,12.5,1.2970009,1.52995712,1.14023682,0.04471896,3.4581429,0.15676408,1.48523816,2.43723772,1.57467608,7.4700567
E1,36,PM,B,17.5,13.5,19.5,11.5,19.5,16.5,1.2938464,1.3741749,1.0010231,0.15915967,2.2582989,0.2928233,1.21501523,2.2948695,1.53333457,6.08650297
E1,36,PM,C,13.5,12.5,12.5,17,13.5,11.5,1.1056598,1.428954,1.11228481,-0.04200175,1.92679695,-0.00662501,1.47095575,2.21794461,1.38695225,5.53169381
E1,36,PM,D,14.5,13.5,16.5,11.5,15.5,19.5,1.3011371,2.0212599,1.6842162,0.3267353,0.17259814,-0.3830791,1.6945246,2.9853533,2.3479952,5.50594664
E1,37,Control,A,20,11,14,11,17,14,1.1856794,1.3283886,0.69923151,0.49308953,,0.48644789,0.83529907,1.88491091,1.82147813,3.70638904
E1,37,Control,B,16,11,16,11,17,14,1.7333163,1.5136608,0.43333968,0.64042661,,1.29997662,0.87323419,2.16665598,2.15408741,4.32074339
E1,37,Control,C,21,11,21,11,11,14,1.3313515,1.2881995,0.78741006,1.05282428,,0.54394144,0.23537522,2.11876156,2.34102378,4.45978534
E1,37,Control,D,21,11,21,11,21,14,1.8170979,1.98262,1.155102835,0.932893,,0.661995065,1.049727,2.972200735,2.915513,5.887713735
E1,37,PM,A,21,11,14,11,14,14,1.5490983,1.29064727,0.61159647,0.8187523,1.5861267,0.93750183,0.47189497,2.16069477,2.10939957,5.85622104
E1,37,PM,B,21,11,18,11,18,14,1.746668,1.6454437,0.8014423,0.80635727,0.3569935,0.9452257,0.83908643,2.5481103,2.45180097,5.35690477
E1,37,PM,C,21,11,20.5,11,21,14,1.2316451,1.183109,0.70380471,0.76839526,-0.34247271,0.52784039,0.41471374,1.93544981,1.95150426,3.54448136
E1,37,PM,D,21,11,21,11,21,16,2.4633098,1.8468531,1.2505026,1.5718295,3.98662093,1.2128072,0.2750236,3.7138124,3.4186826,11.11911593
E1,38,Control,A,9,7,7,14,11,6,0.5651238,1.1849281,0.36094042,-2.25930173,,0.20418338,3.44422983,0.92606422,-1.07437363,-0.14830941
E1,38,Control,B,9,7,7,12,9,6,1.0673328,1.8269423,0.70861945,-0.1398262,,0.35871335,1.9667685,1.77595225,1.6871161,3.46306835
E1,38,Control,C,6,5,5,16,6,6,1.0029625,1.3331463,0.31692546,-0.28852538,,0.68603704,1.62167168,1.31988796,1.04462092,2.36450888
E1,38,Control,D,6,6,14,11,8,6,1.1454769,1.6223541,0.341943652,0.5044561,,0.803533248,1.117898,1.487420552,2.1268102,3.614230752
E1,38,PM,A,14,10,7,12,14,9,1.0176753,1.4418091,0.60208337,-1.25472325,1.9963344,0.41559193,2.69653235,1.61975867,0.18708585,3.80317892
E1,38,PM,B,11,8,12,13,10,7,1.3318892,1.8294409,0.8109444,0.50627892,2.4721031,0.5209448,1.32316198,2.1428336,2.33571982,6.95065652
E1,38,PM,C,13,6,7,7,8,6,1.222776,1.812428,0.96844986,-1.06849471,1.23322728,0.25432614,2.88092271,2.19122586,0.74393329,4.16838643
E1,38,PM,D,14,11,18,10,11,7,0.9758403,1.5265598,0.7585483,0.3728875,1.46993082,0.217292,1.1536723,1.7343886,1.8994473,5.10376672
E1,39,Control,A,13,2,11,10,14,9,1.6452575,1.2845612,-0.8679211,-0.32182218,,2.5131786,1.60638338,0.7773364,0.96273902,1.74007542
E1,39,Control,B,14,3,17,12,13,13,1.4927404,1.2350116,-1.08748194,-0.03075303,,2.58022234,1.26576463,0.40525846,1.20425857,1.60951703
E1,39,Control,C,13,4,15,11,13,11,1.1375023,1.2083287,-1.35029533,-1.35247881,,2.48779763,2.56080751,-0.21279303,-0.14415011,-0.35694314
E1,39,Control,D,15,4,18,16,14,14,2.0388307,1.7384917,1.070718222,1.236116,,0.968112478,0.5023757,3.109548922,2.9746077,6.084156622
E1,39,PM,A,17,4,12,11,14,15,1.4809545,1.22761849,-0.88265908,-0.58671821,1.5458282,2.36361358,1.8143367,0.59829542,0.64090028,2.7850239
E1,39,PM,B,16,5,17,14,14,13,1.6831163,1.6969837,0.2666388,0.03790896,1.9787274,1.4164775,1.65907474,1.9497551,1.73489266,5.66337516
E1,39,PM,C,17,4,15,12,13,11,1.1906812,1.314305,0.09684694,-0.29375395,0.32851459,1.09383426,1.60805895,1.28752814,1.02055105,2.63659378
E1,39,PM,D,18,7,20,16,15,15,1.5954202,1.6682626,0.8098056,0.4702739,1.92916295,0.7856146,1.1979887,2.4052258,2.1385365,6.47292525
E1,40,Control,A,10,1,5,13,13,13,0.6826021,1.7179518,1.06276864,0.10617435,,-0.38016654,1.61177745,1.74537074,1.82412615,3.56949689
E1,40,Control,B,14,1,12,13,13,15,1.1840355,1.6524292,0.9124096,0.16602954,,0.2716259,1.48639966,2.0964451,1.81845874,3.91490384
E1,40,Control,C,16,1,14,13,13,14,1.1785944,1.7805531,0.57383915,0.13542209,,0.60475525,1.64513101,1.75243355,1.91597519,3.66840874
E1,40,Control,D,17,1,16,15,16,16,2.0583208,1.4818279,0.83545983,0.7866776,,1.22286097,0.6951503,2.89378063,2.2685055,5.16228613
E1,40,PM,A,11,1,6,14,10,12,1.516187,2.13551796,1.23574638,0.56498142,2.156707,0.28044062,1.57053654,2.75193338,2.70049938,7.60913976
E1,40,PM,B,15,1,12,14,15,14,1.77476,2.0018012,1.3178406,0.90407925,2.8237368,0.4569194,1.09772195,3.0926006,2.90588045,8.82221785
E1,40,PM,C,19,1,10,8,13,17,1.5999927,1.88228,1.21626087,0.35668243,2.00965874,0.38373183,1.52559757,2.81625357,2.23896243,7.06487474
E1,40,PM,D,19,1,21,19,19,19,1.7300105,2.3378603,1.4329572,0.9695711,2.53148342,0.2970533,1.3682892,3.1629677,3.3074314,9.00188252
E1,41,Control,A,12,2,9,9,12,5,0.9261613,1.1115183,0.41956087,0.22329185,,0.50660043,0.88822645,1.34572217,1.33481015,2.68053232
E1,41,Control,B,13,3,13,9,12,8,0.958299,1.6577144,0.87312875,-0.63230978,,0.08517025,2.29002418,1.83142775,1.02540462,2.85683237
E1,41,Control,C,6,2,15,6,17,2,1.1012874,1.5042541,0.9774281,0.61703659,,0.1238593,0.88721751,2.0787155,2.12129069,4.20000619
E1,41,Control,D,14,2,13,9,13,6,1.4662728,1.6075479,1.485420785,0.9626158,,-0.019147985,0.6449321,2.951693585,2.5701637,5.521857285
E1,41,PM,A,12,2,10,7,12,5,0.9452914,1.27156335,0.43632962,0.27494203,-0.4812037,0.50896178,0.99662132,1.38162102,1.54650538,2.4469227
E1,41,PM,B,8,3,15,10,12,9,1.1248065,1.4301638,0.847546,0.54557112,-0.5587563,0.2772605,0.88459268,1.9723525,1.97573492,3.38933112
E1,41,PM,C,13,3,16,5,14,2,0.9965083,1.263912,0.72150726,0.35245012,0.07764128,0.27500104,0.91146188,1.71801556,1.61636212,3.41201896
E1,41,PM,D,13,2,10,7,14,5,1.21013,2.103052,1.5981161,0.589767,-0.04310672,-0.3879861,1.513285,2.8082461,2.692819,5.45795838
E1,42,Control,A,7.5,8,9,13,9.5,9.5,0.7037566,1.3119347,1.17169726,-1.43976229,,-0.46794066,2.75169699,1.87545386,-0.12782759,1.74762627
E1,42,Control,B,9.5,8.5,8,12.5,9.5,10,0.7640348,1.1925141,0.8900086,0.39933052,,-0.1259738,0.79318358,1.6540434,1.59184462,3.24588802
E1,42,Control,C,13.5,4.5,13.5,11,13.5,14.5,1.0142315,1.2908972,1.02043699,0.82534195,,-0.00620549,0.46555525,2.03466849,2.11623915,4.15090764
E1,42,Control,D,15,8,14.5,14.5,12,18,1.8369796,1.5738584,1.513933922,1.221319,,0.323045678,0.3525394,3.350913522,2.7951774,6.146090922
E1,42,PM,A,9.5,9.5,9,13,9.5,9.5,0.8180253,1.71348472,1.1339673,0.5386906,2.4418043,-0.315942,1.17479412,1.9519926,2.25217532,6.64597222
E1,42,PM,B,12,8,9.5,17,15.5,15.5,1.2713922,1.6125804,1.3116401,1.04645924,1.8602137,-0.0402479,0.56612116,2.5830323,2.65903964,7.10228564
E1,42,PM,C,14.5,1.5,14.5,12.5,14.5,13.5,1.3528514,1.572907,1.08542027,0.89296705,1.97545886,0.26743113,0.67993995,2.43827167,2.46587405,6.87960458
E1,42,PM,D,16,11.5,16.5,16.5,14.5,15.5,1.8407974,2.0478371,1.4321559,1.5137934,1.7067811,0.4086415,0.5340437,3.2729533,3.5616305,8.5413649
E1,43,Control,A,13.5,15.5,12.5,14.5,14.5,11.5,1.524127,1.3139052,1.20387921,1.09612267,,0.32024779,0.21778253,2.72800621,2.41002787,5.13803408
E1,43,Control,B,14.5,11.5,10.5,13.5,12.5,10.5,1.5443359,1.3824156,1.38820762,1.37284809,,0.15612828,0.00956751,2.93254352,2.75526369,5.68780721
E1,43,Control,C,13.5,9.5,9.5,15.5,10.5,8.5,0.8955562,1.2402926,1.07777436,0.69332081,,-0.18221816,0.54697179,1.97333056,1.93361341,3.90694397
E1,43,Control,D,14.5,11.5,12.5,14.5,11.5,11.5,1.3798779,1.4735368,1.339460231,1.0120573,,0.040417669,0.4614795,2.719338131,2.4855941,5.204932231
E1,43,PM,A,17.5,15.5,12.5,14.5,16.5,11.5,1.3985964,1.87926342,1.65383533,1.13284439,4.4655979,-0.25523893,0.74641903,3.05243173,3.01210781,10.53013744
E1,43,PM,B,16.5,17.5,17.5,16.5,17.5,13.5,1.8000305,1.9983674,1.7463426,1.56779439,3.6057859,0.0536879,0.43057301,3.5463731,3.56616179,10.71832079
E1,43,PM,C,14.5,14.5,10.5,15.5,10.5,8.5,1.5516714,1.68062,1.44888397,1.24304793,3.25590445,0.10278743,0.43757207,3.00055537,2.92366793,9.18012775
E1,43,PM,D,17.5,11.5,16.5,13.5,15.5,13.5,1.4700581,1.854879,1.7009314,1.487031,1.89747836,-0.2308733,0.367848,3.1709895,3.34191,8.41037786
E1,44,Control,A,2,1,1,5,2,2,1.1777587,1.9385802,-0.04151833,-2.00631695,,1.21927703,3.94489715,1.13624037,-0.06773675,1.06850362
E1,44,Control,B,4,2,2,6,8,7,0.9157843,1.3756255,-0.39399681,-1.37050924,,1.30978111,2.74613474,0.52178749,0.00511626,0.52690375
E1,44,Control,C,2,1,4,4,2,5,0.9816762,2.3335041,-0.12689971,-1.9028482,,1.10857591,4.2363523,0.85477649,0.4306559,1.28543239
E1,44,Control,D,12,2,11,15,16,6,1.7602121,2.2525366,0.382872047,0.6875436,,1.377340053,1.564993,2.143084147,2.9400802,5.083164347
E1,44,PM,A,6,1,1,16,7,3,1.359313,2.06364834,-0.31224553,-1.14054169,3.5797831,1.67155853,3.20419003,1.04706747,0.92310665,5.54995722
E1,44,PM,B,10,4,14,10,12,9.5,1.0812024,1.8824613,0.2166296,-0.7686391,4.4690202,0.8645728,2.6511004,1.297832,1.1138222,6.8806744
E1,44,PM,C,4,1,6,5,8,6,1.14107,1.746684,-0.34088764,-1.16229451,4.13658253,1.48195764,2.90897851,0.80018236,0.58438949,5.52115438
E1,44,PM,D,16,4,19,11,18,13,2.2957938,2.3713314,1.4784003,1.6699389,2.52293331,0.8173935,0.7013925,3.7741941,4.0412703,10.33839771
E1,45,Control,A,5,5,7,12,9,2,0.8668783,1.3285555,0.87873558,-0.68398393,,-0.01185728,2.01253943,1.74561388,0.64457157,2.39018545
E1,45,Control,B,9,9,9,10,12,5,1.5380363,1.4036135,0.60966861,-1.2993203,,0.92836769,2.7029338,2.14770491,0.1042932,2.25199811
E1,45,Control,C,2,3,8,9,4,1,1.0954237,1.5088361,0.66152146,-0.38392623,,0.43390224,1.89276233,1.75694516,1.12490987,2.88185503
E1,45,Control,D,11,2,15,10,12,3,1.4007375,2.1774536,1.495476309,-0.3390093,,-0.094738809,2.5164629,2.896213809,1.8384443,4.734658109
E1,45,PM,A,6,7,7,13,10,2,0.8529629,1.74555638,1.16750094,-0.92049412,2.3989024,-0.31453804,2.6660505,2.02046384,0.82506226,5.2444285
E1,45,PM,B,11,10,12,12,12,5,0.9503495,1.6684919,1.2261392,-0.69601441,2.3943094,-0.2757897,2.36450631,2.1764887,0.97247749,5.54327559
E1,45,PM,C,5,5,12,12,7,3,1.0646486,1.760511,1.00241947,-0.26218726,2.43786593,0.06222913,2.02269826,2.06706807,1.49832374,6.00325774
E1,45,PM,D,13,2,21,19,15,6,1.1161528,1.5403857,1.2050336,0.6515681,0.60146039,-0.0888808,0.8888176,2.3211864,2.1919538,5.11460059
E1,46,Control,A,3,2,2,5,2,2,0.7538672,1.7104361,-1.51142052,-0.67888468,,2.26528772,2.38932078,-0.75755332,1.03155142,0.2739981
E1,46,Control,B,9,2,5,8,6,3,1.1604363,1.771389,-0.32715371,0.0941252,,1.48759001,1.6772638,0.83328259,1.8655142,2.69879679
E1,46,Control,C,6,2,7,9,3,2,0.7223495,1.5779851,-1.26774248,0.20954545,,1.99009198,1.36843965,-0.54539298,1.78753055,1.24213757
E1,46,Control,D,12,2,12,7,13,5,1.6012668,2.410622,0.900708808,1.504823,,0.700557992,0.905799,2.501975608,3.915445,6.417420608
E1,46,PM,A,4,2,2,16,3,2,1.3283175,2.1612997,0.58472525,0.84834364,3.5448684,0.74359225,1.31295606,1.91304275,3.00964334,8.46755449
E1,46,PM,B,11,2,8,11,4,3,1.4460484,2.2108766,0.3762124,1.02055039,1.988055,1.069836,1.19032621,1.8222608,3.23142699,7.04174279
E1,46,PM,C,10,2,6,6,8,4,1.3437832,1.865877,-0.41080746,0.96039931,3.51334963,1.75459066,0.90547769,0.93297574,2.82627631,7.27260168
E1,46,PM,D,15,3,20,11,16,8,1.5947294,2.4777559,1.3618381,0.9849151,0.83268291,0.2328913,1.4928408,2.9565675,3.462671,7.25192141
E1,47,Control,A,2,2,2,18,6,2,1.5515436,1.4546106,-0.6481655,1.22971288,,2.1997091,0.22489772,0.9033781,2.68432348,3.58770158
E1,47,Control,B,6,4,9,16.5,7,4,1.27473,1.2248294,-0.13128679,0.13451642,,1.40601679,1.09031298,1.14344321,1.35934582,2.50278903
E1,47,Control,C,3,3,3,18,4,4,1.2919817,1.5237191,0.22159842,0.26444794,,1.07038328,1.25927116,1.51358012,1.78816704,3.30174716
E1,47,Control,D,11,5,7,13,13,8,1.5642188,1.8586541,1.351940178,0.415625,,0.212278622,1.4430291,2.916158978,2.2742791,5.190438078
E1,47,PM,A,4,3.5,2,17,3,2,1.556857,2.01864531,0.93740314,0.79372688,3.2739513,0.61945386,1.22491843,2.49426014,2.81237219,8.58058363
E1,47,PM,B,7,3,7,16,5,2.5,1.6160648,1.9343969,0.9634741,0.69877067,2.7827119,0.6525907,1.23562623,2.5795389,2.63316757,7.99541837
E1,47,PM,C,7,5,2,14,7,4,1.8661807,2.126898,1.41181844,1.05575843,2.64961094,0.45436226,1.07113957,3.27799914,3.18265643,9.11026651
E1,47,PM,D,19,9,20,11,17,17,1.1299589,1.8683242,1.1913441,0.7397816,1.96740212,-0.0613852,1.1285426,2.321303,2.6081058,6.89681092
E1,48,Control,A,13,13,7,6,13,13,1.0751709,1.5547022,0.87056266,0.57467773,,0.20460824,0.98002447,1.94573356,2.12937993,4.07511349
E1,48,Control,B,13,14,13,9,16,16,1.1403864,1.4685789,0.78863214,-0.92473301,,0.35175426,2.39331191,1.92901854,0.54384589,2.47286443
E1,48,Control,C,14,12,11,10,16,14,0.8592101,1.4600549,0.86294891,0.48317995,,-0.00373881,0.97687495,1.72215901,1.94323485,3.66539386
E1,48,Control,D,16,16,16,15,18,16,1.4114449,1.4832876,1.388408136,1.1109667,,0.023036764,0.3723209,2.799853036,2.5942543,5.394107336
E1,48,PM,A,14,14,6,6,15,14,1.2763777,1.58469803,1.02907567,0.86420861,3.8112942,0.24730203,0.72048942,2.30545337,2.44890664,8.56565421
E1,48,PM,B,17,14,16,7,17,17,1.3268115,1.6242022,1.2892391,1.08929109,2.7003875,0.0375724,0.53491111,2.6160506,2.71349329,8.02993139
E1,48,PM,C,14,12,9,10,16,15,1.3899528,1.683736,1.30180475,1.06429819,1.94642093,0.08814805,0.61943781,2.69175755,2.74803419,7.38621267
E1,48,PM,D,20,12,16,18,19,15,1.5835657,1.4043371,1.4396711,1.3904021,1.8536878,0.1438946,0.013935,3.0232368,2.7947392,7.6716638
